id;nombre;apellido;correo;empresa;fechaNacimiento;sueldo;genero
884;Salvador;Valadez;guillermo.gámez@prodigy.net.mx;Salgado y Salgado S.A.B.;1982-12-04;49.59;MUJER
885;Gilberto;Zepeda;erika.arriaga@yahoo.com;"Márquez; Márquez y Márquez Asociados S.A.";1982-12-05;84.62;MUJER
886;Jaime;Escamilla;teresa.téllez@yahoo.com;Palacios S.R.L;1982-12-06;40.9;MUJER
887;VerĂłnica;Salgado;jorge luis.carbajal@yahoo.com;Villegas y Villegas S.A.;1982-12-07;2.67;MUJER
888;Alberto;Mora;jaime.gonzález@gmail.com;Arellano y Arellano S.A.;1982-12-08;22.58;MUJER
889;Dolores;Becerra;marco antonio.castillo@prodigy.net.mx;Zamora S.C.;1982-12-09;58.76;MUJER
890;Carmen;Martínez;mariana.gaytán@prodigy.net.mx;Grupo Granados S.R.L;1982-12-10;40.03;MUJER
891;Samuel;Nieto;benjamín.ventura@prodigy.net.mx;Antonio S.A. de C.V.;1982-12-11;84.55;MUJER
892;Fabiola;Villarreal;liliana.alvarado@hotmail.com;"Ávalos; Ávalos y Ávalos Asociados S.A.B.";1982-12-12;32.07;MUJER
893;Alfonso;Hurtado;lorenzo.alfaro@yahoo.com;Mata y Mata S.A. de C.V.;1982-12-13;40.01;MUJER
894;Raymundo;May;roberto.mercado@yahoo.com;Ortiz S.R.L;1982-12-14;15.89;MUJER
895;MarĂ­a de Lourdes;Núñez;consuelo.de los santos@yahoo.com;Palma S.A. de C.V.;1982-12-15;4.79;MUJER
896;Pablo;Rocha;armando.robles@gmail.com;"Durán; Durán y Durán Asociados S.A.";1982-12-16;90.22;MUJER
897;Alicia;Parra;claudia.de la cruz@hotmail.com;"Cabrera; Cabrera y Cabrera Asociados S.A. de C.V.";1982-12-17;63.19;MUJER
898;Susana;Leyva;lucía.acevedo@gmail.com;"Carranza; Carranza y Carranza Asociados S.A.";1982-12-18;43.15;MUJER
899;Ricardo;Aparicio;ismael.anaya@prodigy.net.mx;Colegio Vega S.A. de C.V.;1982-12-19;5.7;MUJER
900;Arturo;Arriaga;mónica.solís@yahoo.com;Salazar y Salazar S.R.L;1982-12-20;91.86;MUJER
901;CĂ©sar;Tovar;sara.arteaga@prodigy.net.mx;González S.A.B.;1982-12-21;63.28;MUJER
902;Miriam;Maldonado;martha.cázares@yahoo.com;Jaramillo Jaramillo S.R.L;1982-12-22;80.57;MUJER
903;JosĂ© Luis;Gallardo;paula.gutiérrez@yahoo.com;Salas y Salas S.A.;1982-12-23;37.6;MUJER
904;Pedro;Cárdenas;paula.morán@yahoo.com;Valencia S.C.;1982-12-24;71.03;MUJER
905;Sara;Zepeda;rafael.correa@hotmail.com;Hidalgo S.R.L;1982-12-25;40.78;MUJER
906;Luis Alberto;Olvera;miguel ángel.lara@yahoo.com;Enríquez y Enríquez S.A.;1982-12-26;9.8;MUJER
907;Guillermina;Figueroa;mariana.sotelo@gmail.com;"Covarrubias; Covarrubias y Covarrubias Asociados S.R.L";1982-12-27;59.7;MUJER
908;Carmen;Murillo;esperanza.godínez@hotmail.com;"Jímenez; Jímenez y Jímenez Asociados S.A.B.";1982-12-28;90.15;MUJER
909;Isabel;Juárez;esperanza.uribe@prodigy.net.mx;Villalobos Villalobos S.A. de C.V.;1982-12-29;79.35;MUJER
910;Joel;Robles;josefina.serrano@yahoo.com;Velázquez S.R.L;1982-12-30;16.37;MUJER
911;Sonia;Félix;lorenzo.arredondo@prodigy.net.mx;Colegio Arellano S.C.;1982-12-31;48.38;MUJER
912;Felipe;Román;isidro.león@hotmail.com;"Ayala; Ayala y Ayala Asociados S.C.";1983-01-01;58.2;MUJER
913;Marisol;Valle;esperanza.varela@gmail.com;Molina S.A. de C.V.;1983-01-02;31.5;MUJER
914;JosĂ© Angel;Ordoñez;moisés.guillén@prodigy.net.mx;Durán Durán S.A. de C.V.;1983-01-03;65.44;MUJER
915;Raymundo;Acevedo;norma.quintero@yahoo.com;Grupo Financiero Fernández S.A.B.;1983-01-04;45.04;MUJER
916;Marina;Bravo;gerardo.muñoz@hotmail.com;Velasco y Velasco S.A.B.;1983-01-05;21.58;MUJER
917;Sara;Parra;elena.mendoza@gmail.com;Grupo Financiero Estrada S.A.;1983-01-06;11.86;MUJER
918;Adriana;Navarrete;josé alberto.maldonado@hotmail.com;Medina Medina S.C.;1983-01-07;4.95;MUJER
919;Mercedes;Alonso;micaela.anaya@yahoo.com;"Cruz; Cruz y Cruz Asociados S.R.L";1983-01-08;43.64;MUJER
920;Laura;Acevedo;rosalba.téllez@prodigy.net.mx;Grupo Financiero Áviles S.C.;1983-01-09;9.34;MUJER
921;Consuelo;Gálvez;irma.lugo@hotmail.com;Arriaga S.R.L;1983-01-10;75.81;MUJER
922;Amalia;Rosas;arturo.román@gmail.com;Hurtado y Hurtado S.A. de C.V.;1983-01-11;49.41;MUJER
923;JosĂ© Angel;Félix;olivia.zamora@gmail.com;Alarcón y Alarcón S.R.L;1983-01-12;52.65;MUJER
924;Ăngela;Zaragoza;ramón.barajas@hotmail.com;Trujillo Trujillo S.C.;1983-01-13;43.06;MUJER
925;JosĂ© Guadalupe;Gámez;pablo.esquivel@hotmail.com;Espinosa S.A.B.;1983-01-14;15.93;MUJER
926;Carmen;Leyva;jesús.gaytán@gmail.com;Camacho S.A.B.;1983-01-15;59.31;MUJER
927;Israel;Morales;andrea.dávila@gmail.com;Tapia S.C.;1983-01-16;65.46;MUJER
928;Silvia;Espinosa;estela.ángeles@prodigy.net.mx;Grupo Hernández S.A. de C.V.;1983-01-17;40.96;MUJER
929;Martha;Nieto;juan.ventura@hotmail.com;Chávez y Chávez S.A.;1983-01-18;78.69;MUJER
930;Mario Alberto;Coronado;jorge alberto.vera@yahoo.com;Castillo S.R.L;1983-01-19;33.02;MUJER
931;Paula;Salgado;rafael.treviño@gmail.com;Godínez y Godínez S.A.B.;1983-01-20;38.89;MUJER
932;JosĂ©;Gil;rosalba.molina@gmail.com;de León S.A.;1983-01-21;55.52;MUJER
933;Miguel Ăngel;Tapia;maricela.muñoz@prodigy.net.mx;Reyna Reyna S.A. de C.V.;1983-01-22;89.5;MUJER
934;JesĂşs;Montiel;gustavo.zapata@prodigy.net.mx;"Robles; Robles y Robles Asociados S.A. de C.V.";1983-01-23;70.65;MUJER
935;Dolores;Esparza;andrea.vidal@gmail.com;"Arellano; Arellano y Arellano Asociados S.A.";1983-01-24;10.15;MUJER
936;AndrĂ©s;Carbajal;marisol.vázquez@yahoo.com;"Garduño; Garduño y Garduño Asociados S.C.";1983-01-25;84.66;MUJER
937;Margarita;Montiel;julio.caballero@yahoo.com;"Venegas; Venegas y Venegas Asociados S.A.";1983-01-26;75.18;MUJER
938;JosĂ© Alberto;Vega;ofelia.leal@yahoo.com;"Vega; Vega y Vega Asociados S.A.";1983-01-27;52.84;MUJER
939;Luz MarĂ­a;Acevedo;leticia.marín@gmail.com;Fuentes y Fuentes S.A.B.;1983-01-28;79.48;MUJER
940;Claudia;Herrera;sandra.de jesús@hotmail.com;Sociedad Carmona S.C.;1983-01-29;87.31;MUJER
941;Catalina;Castillo;israel.torres@yahoo.com;Alvarado S.A.;1983-01-30;90.49;MUJER
942;Gilberto;Bautista;jorge.zúñiga@gmail.com;Fondo Paredes S.A. de C.V.;1983-01-31;1.23;MUJER
943;Salvador;Fernández;josé alfredo.cisneros@prodigy.net.mx;Reséndiz Reséndiz S.A.B.;1983-02-01;47.6;MUJER
944;RocĂ­o;Soto;héctor.padilla@yahoo.com;Garza y Garza S.A.B.;1983-02-02;16.25;MUJER
945;Jorge Luis;Gil;ernesto.villalobos@hotmail.com;Robles S.A. de C.V.;1983-02-03;86.96;MUJER
946;Yolanda;Islas;miriam.tovar@yahoo.com;Guzmán Guzmán S.C.;1983-02-04;51.86;MUJER
947;MĂłnica;Escamilla;pablo.guillén@yahoo.com;León y León S.A.B.;1983-02-05;25.14;MUJER
948;Paula;Trejo;olivia.quiroz@hotmail.com;Grupo Zavala S.R.L;1983-02-06;53.18;MUJER
949;Gerardo;Alonso;rosa.segura@yahoo.com;Dávila Dávila S.A.B.;1983-02-07;11.42;MUJER
950;Julio CĂ©sar;Gallardo;pedro.velázquez@prodigy.net.mx;Gutiérrez y Gutiérrez S.A.B.;1983-02-08;78.23;MUJER
951;Ramiro;May;erika.andrade@prodigy.net.mx;Treviño Treviño S.A.;1983-02-09;24.59;MUJER
952;Hugo;Castillo;carolina.rangel@gmail.com;"López; López y López Asociados S.C.";1983-02-10;94.22;MUJER
953;Maricela;Alfaro;micaela.delgado@gmail.com;"Ayala; Ayala y Ayala Asociados S.R.L";1983-02-11;84.36;MUJER
954;Lorena;Reyes;gregorio.espinosa@hotmail.com;Mondragón y Mondragón S.A.B.;1983-02-12;46.03;MUJER
955;AgustĂ­n;de León;cristina.serrano@gmail.com;Fondo Salas S.A.;1983-02-13;4.49;MUJER
956;Marina;Vega;alejandra.caballero@hotmail.com;Quintana Quintana S.A.B.;1983-02-14;87.51;MUJER
957;Israel;Mata;óscar.garza@prodigy.net.mx;Zamora S.C.;1983-02-15;88.65;MUJER
958;ConcepciĂłn;Venegas;humberto.macías@yahoo.com;Paredes Paredes S.A. de C.V.;1983-02-16;68.65;MUJER
959;Paula;Arriaga;benjamín.andrade@prodigy.net.mx;"Córdova; Córdova y Córdova Asociados S.A.";1983-02-17;60.06;MUJER
960;Alejandro;Guevara;elizabeth.rivas@gmail.com;Villarreal y Villarreal S.A.;1983-02-18;68.79;MUJER
961;Mario;Miranda;adriana.cárdenas@yahoo.com;Vidal Vidal S.A.B.;1983-02-19;93.27;MUJER
962;AgustĂ­n;Mora;guillermo.osorio@hotmail.com;Grupo Chávez S.A. de C.V.;1983-02-20;58.86;MUJER
963;Maricela;Uribe;victoria.arredondo@hotmail.com;"Salazar; Salazar y Salazar Asociados S.A.";1983-02-21;45.08;MUJER
964;Carolina;Parra;ramón.moreno@prodigy.net.mx;Ordoñez y Ordoñez S.A. de C.V.;1983-02-22;75.83;MUJER
965;Andrea;Báez;alejandra.mendoza@gmail.com;Grupo Arellano S.A.B.;1983-02-23;48.1;MUJER
966;Petra;Rosas;guillermo.sierra@prodigy.net.mx;Francisco y Francisco S.A.B.;1983-02-24;40.46;MUJER
967;Francisca;Gallardo;rogelio.carmona@yahoo.com;Campos S.A. de C.V.;1983-02-25;65.67;MUJER
968;Martha;Moreno;lilia.alcántara@gmail.com;Guzmán S.A.;1983-02-26;47.98;MUJER
969;Ă“scar;Castellanos;lorena.gálvez@yahoo.com;"Gaytán; Gaytán y Gaytán Asociados S.A.B.";1983-02-27;11.44;MUJER
970;Rosario;Estrada;maría elena.velasco@yahoo.com;"Ojeda; Ojeda y Ojeda Asociados S.C.";1983-02-28;91.52;MUJER
971;Eduardo;León;josé alfredo.galindo@hotmail.com;"Escamilla; Escamilla y Escamilla Asociados S.C.";1983-03-01;8.07;MUJER
972;Micaela;Gallegos;alberto.reséndiz@yahoo.com;Aguilar S.A.;1983-03-02;33.24;MUJER
973;Mario;Pérez;julia.osorio@gmail.com;Sociedad Cano S.A.;1983-03-03;14.42;MUJER
974;Virginia;Dávila;josé luis.saucedo@hotmail.com;Sociedad Márquez S.A. de C.V.;1983-03-04;39.88;MUJER
975;Rodolfo;Lara;sonia.dávila@gmail.com;Moreno S.A.B.;1983-03-05;49.94;MUJER
976;Patricia;Carrera;petra.correa@yahoo.com;Quiroz Quiroz S.C.;1983-03-06;31.95;MUJER
977;Sara;Cortez;manuela.castillo@gmail.com;Grupo Financiero Tapia S.A.B.;1983-03-07;23.51;MUJER
978;Julio;Acosta;norma.villanueva@gmail.com;Quiroz Quiroz S.R.L;1983-03-08;21.2;MUJER
979;Jorge;Antonio;miguel ángel.gil@yahoo.com;Reyes y Reyes S.A.B.;1983-03-09;57.48;MUJER
980;Esther;Cano;karina.áviles@yahoo.com;Colegio Pacheco S.C.;1983-03-10;3.73;MUJER
981;Irma;Macías;guillermina.nájera@yahoo.com;Delgado Delgado S.A.;1983-03-11;35.63;MUJER
982;Sara;Mata;luz maría.rendón@prodigy.net.mx;Zapata S.C.;1983-03-12;40.05;MUJER
983;Abel;Velasco;raquel.rivera@gmail.com;Gálvez y Gálvez S.A.B.;1983-03-13;88.93;MUJER
984;Silvia;Francisco;víctor hugo.del ángel@hotmail.com;Morales y Morales S.A.;1983-03-14;51.96;MUJER
985;Mercedes;Sosa;gloria.ramos@hotmail.com;Colegio Valle S.C.;1983-03-15;29.42;MUJER
986;MĂłnica;Álvarez;luz maría.mercado@gmail.com;Cuevas Cuevas S.A.;1983-03-16;45.09;MUJER
987;Adriana;Arias;isabel.pacheco@yahoo.com;Mora Mora S.A.B.;1983-03-17;9.5;MUJER
988;Guillermina;Cordero;agustín.carrasco@gmail.com;Caballero y Caballero S.A. de C.V.;1983-03-18;79.14;MUJER
989;AgustĂ­n;Mondragón;julia.amador@prodigy.net.mx;Alvarado Alvarado S.A. de C.V.;1983-03-19;0.04;MUJER
990;Sara;Villarreal;victoria.sosa@yahoo.com;Sociedad Mendoza S.R.L;1983-03-20;41.13;MUJER
991;Francisca;Zamora;fernando.román@gmail.com;Sociedad Venegas S.A. de C.V.;1983-03-21;71.91;MUJER
992;Adela;Ibarra;consuelo.montiel@yahoo.com;Grupo Aguirre S.A.B.;1983-03-22;75.26;MUJER
993;Eduardo;Zárate;carlos.salazar@gmail.com;Colegio Salazar S.A. de C.V.;1983-03-23;25.45;MUJER
994;VĂ­ctor;Castellanos;hugo.antonio@yahoo.com;"Colín; Colín y Colín Asociados S.C.";1983-03-24;12.75;MUJER
995;Daniel;Robles;ana maría.arriaga@yahoo.com;"Bernal; Bernal y Bernal Asociados S.C.";1983-03-25;32.72;MUJER
996;Paula;Bonilla;mario.velázquez@yahoo.com;"Yáñez; Yáñez y Yáñez Asociados S.C.";1983-03-26;61.58;MUJER
997;Paula;Vázquez;rosa maría.del ángel@yahoo.com;Olivares y Olivares S.R.L;1983-03-27;47.52;MUJER
998;Abel;Romero;agustín.castellanos@yahoo.com;Rendón y Rendón S.A. de C.V.;1983-03-28;26.77;MUJER
999;BenjamĂ­n;Saldaña;araceli.cano@gmail.com;Vásquez y Vásquez S.R.L;1983-03-29;55.03;MUJER
1000;Juan Antonio;Marín;raymundo.zúñiga@hotmail.com;Contreras y Contreras S.C.;1983-03-30;62.3;MUJER
